id,wallet_address,portfolio_value,nft_collection,collection_value,holding_balance,opensea,explore,twitter_username,twitter_url
dingaling,0x54be3a794282c030b15e43ae2bb182e14c409c5e,35.7M,Bored Ape Yacht Club,23.1M,110,https://opensea.io/0x54be3a794282c030b15e43ae2bb182e14c409c5e?ref=0x87d9a3be5435a1dcadea99059ad6f50c0d6e8469,https://etherscan.io/address/0x54be3a794282c030b15e43ae2bb182e14c409c5e,dingalingts,https://twitter.com/dingalingts
JRNYcrypto,0x1b523dc90a79cf5ee5d095825e586e33780f7188,28.9M,Bored Ape Yacht Club,22.5M,107,https://opensea.io/0x1b523dc90a79cf5ee5d095825e586e33780f7188?ref=0x87d9a3be5435a1dcadea99059ad6f50c0d6e8469,https://etherscan.io/address/0x1b523dc90a79cf5ee5d095825e586e33780f7188,JRNYcrypto,https://twitter.com/JRNYcrypto
0x98e711f31e,0x98e711f31e49c2e50c1a290b6f2b1e493e43ea76,18M,Bored Ape Yacht Club,15.4M,73,https://opensea.io/0x98e711f31e49c2e50c1a290b6f2b1e493e43ea76?ref=0x87d9a3be5435a1dcadea99059ad6f50c0d6e8469,https://etherscan.io/address/0x98e711f31e49c2e50c1a290b6f2b1e493e43ea76,,
0xd38a87d7b6,0xd38a87d7b690323ef6883e887614502abcf9b1eb,16.3M,Bored Ape Yacht Club,15.1M,72,https://opensea.io/0xd38a87d7b690323ef6883e887614502abcf9b1eb?ref=0x87d9a3be5435a1dcadea99059ad6f50c0d6e8469,https://etherscan.io/address/0xd38a87d7b690323ef6883e887614502abcf9b1eb,,
0xa7ab7a265f,0xa7ab7a265f274fa664187698932d3cabb851023d,16.4M,Bored Ape Yacht Club,13.3M,63,https://opensea.io/0xa7ab7a265f274fa664187698932d3cabb851023d?ref=0x87d9a3be5435a1dcadea99059ad6f50c0d6e8469,https://etherscan.io/address/0xa7ab7a265f274fa664187698932d3cabb851023d,,
🇹🇼🇹🇼🇹🇼.eth,0x020ca66c30bec2c4fe3861a94e4db4a498a35872,22.1M,Bored Ape Yacht Club,12.8M,61,https://opensea.io/0x020ca66c30bec2c4fe3861a94e4db4a498a35872?ref=0x87d9a3be5435a1dcadea99059ad6f50c0d6e8469,https://etherscan.io/address/0x020ca66c30bec2c4fe3861a94e4db4a498a35872,machibigbrother,https://twitter.com/machibigbrother
j1mmy_vault,0x8ad272ac86c6c88683d9a60eb8ed57e6c304bb0c,27.1M,Bored Ape Yacht Club,12.6M,60,https://opensea.io/0x8ad272ac86c6c88683d9a60eb8ed57e6c304bb0c?ref=0x87d9a3be5435a1dcadea99059ad6f50c0d6e8469,https://etherscan.io/address/0x8ad272ac86c6c88683d9a60eb8ed57e6c304bb0c,,
FTX NFT,0x3cf9a2b7aaad51e107453e510bfd470a06205d4c,13.5M,Bored Ape Yacht Club,12.4M,59,https://opensea.io/0x3cf9a2b7aaad51e107453e510bfd470a06205d4c?ref=0x87d9a3be5435a1dcadea99059ad6f50c0d6e8469,https://etherscan.io/address/0x3cf9a2b7aaad51e107453e510bfd470a06205d4c,,
0x073ff66ec9,0x073ff66ec93c4ddd98edafeaecd677a7ef61f000,19M,Bored Ape Yacht Club,8.41M,40,https://opensea.io/0x073ff66ec93c4ddd98edafeaecd677a7ef61f000?ref=0x87d9a3be5435a1dcadea99059ad6f50c0d6e8469,https://etherscan.io/address/0x073ff66ec93c4ddd98edafeaecd677a7ef61f000,,
0x04f5df957c,0x04f5df957ce0405ba0264eca6130161cfaa12571,10.2M,Bored Ape Yacht Club,7.78M,37,https://opensea.io/0x04f5df957ce0405ba0264eca6130161cfaa12571?ref=0x87d9a3be5435a1dcadea99059ad6f50c0d6e8469,https://etherscan.io/address/0x04f5df957ce0405ba0264eca6130161cfaa12571,cryptobeaker,https://twitter.com/cryptobeaker
