Name,Symbol,Network,Address,Deployed,Token Address,Contract Source,Detailed Info
WOC,WOC,BSC,0xa95301e86dfac8c2db5ef0e95117d32506aa3d81,04 Feb 2022 08:26:28 GMT ,https://bscscan.com/token/0xa95301e86dfac8c2db5ef0e95117d32506aa3d81,https://tokensniffer.com/contract/0xa95301e86dfac8c2db5ef0e95117d32506aa3d81,https://tokensniffer.com/token/9h10dxu46alvkp82z9bvbn423ufj1cazxah8166uqi20nii51xpk99fu02v6?h=5128
WTF,FTW,BSC,0x770dd518e12e15a63c2ddecec9f5405c8f11bb4b,04 Feb 2022 08:51:07 GMT ,https://bscscan.com/token/0x770dd518e12e15a63c2ddecec9f5405c8f11bb4b,https://tokensniffer.com/contract/0x770dd518e12e15a63c2ddecec9f5405c8f11bb4b,https://tokensniffer.com/token/qqx2216gva6naflfp6149k08bmng2c42a5babhuz51sx1bdovez66eujjsuj?h=5344
TigerV2,TIGERV2,BSC,0xf4ac84a5284ab942e7e13fda1241baffb612c479,04 Feb 2022 08:44:52 GMT ,https://bscscan.com/token/0xf4ac84a5284ab942e7e13fda1241baffb612c479,https://tokensniffer.com/contract/0xf4ac84a5284ab942e7e13fda1241baffb612c479,https://tokensniffer.com/token/zs39bvs91nvsc9jhlsn4afleqac60pz249638n3s3gl6j9zoegzijk6nbsqh?h=5475
Pig Father Inu,PFI,BSC,0x08972b81c7f3f5617372982268e4860ac87e1da8,04 Feb 2022 08:46:10 GMT ,https://bscscan.com/token/0x08972b81c7f3f5617372982268e4860ac87e1da8,https://tokensniffer.com/contract/0x08972b81c7f3f5617372982268e4860ac87e1da8,https://tokensniffer.com/token/xvhqnjv6bimqzm0zo1lmk565dq0gqnhpvonndkvasv3k38fx9bvqam6f329v?h=5731
Pig Father Inu,PFI,BSC,0x08972b81c7f3f5617372982268e4860ac87e1da8,04 Feb 2022 08:46:10 GMT ,https://bscscan.com/token/0x08972b81c7f3f5617372982268e4860ac87e1da8,https://tokensniffer.com/contract/0x08972b81c7f3f5617372982268e4860ac87e1da8,https://tokensniffer.com/token/8mxvehqnjmv6bqz40z1k6qg0mmqnhvnnkvgas5vkx9upbuvq5dae6ci293iv?h=5790
MetaETF,METAETF,BSC,0xdf0398e2d6157b7456051fe1c1944b7be56a4fc5,04 Feb 2022 08:36:28 GMT ,https://bscscan.com/token/0xdf0398e2d6157b7456051fe1c1944b7be56a4fc5,https://tokensniffer.com/contract/0xdf0398e2d6157b7456051fe1c1944b7be56a4fc5,https://tokensniffer.com/token/2zx0hvla5nm328k61q8jqs1kx16zcafg6bp6hmssojqjcad1pk9gszbppli1?h=5553
BabyFalcon,BABYFALCON,BSC,0xaf3d7a23bfbce1e39af4688f5203e5ab7927b138,04 Feb 2022 08:34:37 GMT ,https://bscscan.com/token/0xaf3d7a23bfbce1e39af4688f5203e5ab7927b138,https://tokensniffer.com/contract/0xaf3d7a23bfbce1e39af4688f5203e5ab7927b138,https://tokensniffer.com/token/9zp0ui2q9n50jozjpbmal6a0h98zskpdvvz1nlxp0ca4419jqc3lhnqmj60v?h=5483
胖墩墩,FATDUNDUN,BSC,0x2fa892ab7bec645dd680ffafa74133b6ad53f15d,04 Feb 2022 08:23:01 GMT ,https://bscscan.com/token/0x2fa892ab7bec645dd680ffafa74133b6ad53f15d,https://tokensniffer.com/contract/0x2fa892ab7bec645dd680ffafa74133b6ad53f15d,https://tokensniffer.com/token/nzg9uvoeomhn9jq3jabks1l2io52gikdvxzz9z9fqis65f00jk921f0zg612?h=5419
GenerationalFinanceToken,GFT,BSC,0x4334a0938f1fc8ad02f8aee040207057de4aa016,04 Feb 2022 08:22:58 GMT ,https://bscscan.com/token/0x4334a0938f1fc8ad02f8aee040207057de4aa016,https://tokensniffer.com/contract/0x4334a0938f1fc8ad02f8aee040207057de4aa016,https://tokensniffer.com/token/ps00s9xdh0lfmdvzgup6zbv92xnzv94afaxsoxnxqx1eqm24udfasg9u9x6k?h=5781
Pepe The Pig,PTPIGGY,BSC,0xd000ffb7878464cab6725e76d55c16cd25d4ef40,04 Feb 2022 08:16:40 GMT ,https://bscscan.com/token/0xd000ffb7878464cab6725e76d55c16cd25d4ef40,https://tokensniffer.com/contract/0xd000ffb7878464cab6725e76d55c16cd25d4ef40,https://tokensniffer.com/token/2xxxmzlczljquvqvskisbm9jkqln1aqgkf281ie1b46kb25mn12s5alzoosx?h=5776
DogeQueen Generator,DOGEQUEENGENERATOR,BSC,0x6dd246ce98eb00af2966f22e603978f4f321bae8,04 Feb 2022 07:55:25 GMT ,https://bscscan.com/token/0x6dd246ce98eb00af2966f22e603978f4f321bae8,https://tokensniffer.com/contract/0x6dd246ce98eb00af2966f22e603978f4f321bae8,https://tokensniffer.com/token/kd22nskuibahvaj5odxlx9eznhkkznnecakocx05hqvzlsgdiz0n64j9aofv?h=5943
Multi GrimaceCoin,MGC,BSC,0xbf78e4066cff7c9dc2bebe70864e1063274cffa7,04 Feb 2022 07:09:01 GMT ,https://bscscan.com/token/0xbf78e4066cff7c9dc2bebe70864e1063274cffa7,https://tokensniffer.com/contract/0xbf78e4066cff7c9dc2bebe70864e1063274cffa7,https://tokensniffer.com/token/jezqu3uv5asfixokudkbz4zqbh2b8onjajmaiqxvksa46xk0nqlps3bzz98q?h=5961
